SRPM_name;added_by;import_reason;latest_release_URL;latest_release_regexp
openldap;XS;;;
openssh;XS;;;
openssl;XS;;;
openvswitch;XS;;;
oprofile;XS;;;
os-prober;XS;;;
p11-kit;XS;;;
pacemaker;XS;;;
pam;XS;;;
parted;XS;;;
passwd;XS;;;
patch;XS;;;
pbis-open;XS;;;
pbis-open-upgrade;XS;;;
pciutils;XS;;;
pcre;XS;;;
perl;XS;;;
perl-Carp;XS;;;
perl-constant;XS;;;
perl-Data-Dumper;XS;;;
perl-Encode;XS;;;
perl-Exporter;XS;;;
perl-File-Path;XS;;;
perl-File-Temp;XS;;;
perl-Filter;XS;;;
perl-Getopt-Long;XS;;;
perl-HTTP-Tiny;XS;;;
perl-parent;XS;;;
perl-PathTools;XS;;;
perl-Pod-Perldoc;XS;;;
perl-Pod-Simple;XS;;;
perl-Pod-Usage;XS;;;
perl-podlators;XS;;;
perl-Scalar-List-Utils;XS;;;
perl-Socket;XS;;;
perl-Storable;XS;;;
perl-Text-ParseWords;XS;;;
perl-threads;XS;;;
perl-threads-shared;XS;;;
perl-Time-HiRes;XS;;;
perl-Time-Local;XS;;;
perl-WWW-Curl;XS;;;
pinentry;XS;;;
pixman;XS;;;
pkgconfig;XS;;;
plymouth;XS;;;
policycoreutils;XS;;;
popt;XS;;;
portreserve;XS;;;
procps-ng;XS;;;
psmisc;XS;;;
pth;XS;;;
pygpgme;XS;;;
pyliblzma;XS;;;
PyPAM;XS;;;
pyserial;XS;;;
python;XS;;;
python-bitarray;XS;;;
python-chardet;XCP-ng;dep for yum-utils;;
python-fasteners;XS;;;
python-iniparse;XS;;;
python-kitchen;XCP-ng;dep for yum-utils;;
python-libarchive-c;XS;;;
python-pycurl;XS;;;
python-pyudev;XS;;;
python-simplejson;XS;;;
python-six;XS;;;
python-urlgrabber;XS;;;
pyxattr;XS;;;
qemu;XS;;;
qemu-dp;XS;;;
qlogic-fastlinq;XS;;;
qlogic-netxtreme2;XS;;;
qlogic-qla2xxx;XS;;;
qlogic-qla2xxx-firmware;XS;;;
qrencode;XS;;;
quota;XS;;;
readline;XS;;;
