SRPM_name;added_by;import_reason;latest_release_URL;latest_release_regexp
acl;XS;;;
acpica-tools;XS;;;
aic94xx-firmware;XS;;;
arptables;XS;;;
at;XS;;;
attr;XS;;;
audit;XS;;;
autoconf-archive;XCP-ng;build dep for netdata;;
avago-megaraid-sas;XS;;;
avago-mpt3sas;XS;;;
avahi;XS;;;
basesystem;XS;;;
bash;XS;;;
bash-completion;XS;;;
bc;XS;;;
bind;XS;;;
binutils;XS;;;
biosdevname;XS;;;
blktap;XS;;;
boost;XS;;;
branding-xcp-ng;XCP-ng;replaces branding-xenserver;;
bridge-utils;XS;;;
broadcom-bnxt-en;XS;;;
broadcom-bnxt-en-alt;XCP-ng;alternate driver;;
busybox;XS;;;
bzip2;XS;;;
ca-certificates;XS;;;
centos-logos;XS;;;
ceph-common;XS;;;
chelsio-cxgb4;XS;;;
chkconfig;XS;;;
chrony;XS;;;
cifs-utils;XS;;;
cisco-enic;XS;;;
cisco-enic-alt;XCP-ng;alternate driver;;
cisco-fnic;XS;;;
cisco-fnic-alt;XCP-ng;alternate driver;;
compat-db;XS;;;
compat-gcc-32;XS;;;
control-slice;XS;;;
coretemp-module-alt;XCP-ng;added to workaround missing CPU temperature sensors in dom0;;
coreutils;XS;;;
corosync;XS;;;
cpio;XS;;;
cracklib;XS;;;
cronie;XS;;;
crontabs;XS;;;
cryptsetup;XS;;;
cups;XS;;;
curl;XS;;;
cyrus-sasl;XS;;;
dbus;XS;;;
dell-rbu-module;XCP-ng;dell_rbu driver;;
device-mapper-multipath;XS;;;
device-mapper-persistent-data;XS;;;
dhcp;XS;;;
diffutils;XS;;;
ding-libs;XS;;;
dlm;XS;;;
dmidecode;XS;;;
dracut;XS;;;
dstat;XCP-ng;extra tool;;
dyninst;XS;;;
e2fsprogs;XS;;;
ebtables;XS;;;
ed;XS;;;
edk2;XS;;;
efibootmgr;XS;;;
efivar;XS;;;
elfutils;XS;;;
emulex-lpfc;XS;;;
ethtool;XS;;;
expat;XS;;;
expect;XS;;;
fcoe-utils;XS;;;
file;XS;;;
filesystem;XS;;;
findutils;XS;;;
fipscheck;XS;;;
fontconfig;XS;;;
fontpackages;XS;;;
forkexecd;XS;;;
freetype;XS;;;
gawk;XS;;;
gcc;XS;;;
gdbm;XS;;;
gdisk;XS;;;
GeoIP;XS;;;
gettext;XS;;;
gfs2-utils;XS;;;
ghc-HTTP;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-aeson;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-attoparsec;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-base-unicode-symbols;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-base64-bytestring;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-blaze-builder;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-blaze-html;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-blaze-markup;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-conduit;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-data-default;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-digest;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-dlist;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-extensible-exceptions;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-hashable;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-highlighting-kate;XS;used to be an indirect dep of Xen, through pandoc;;
ghc-hslua;XS;used to be an indirect dep of Xen, through pandoc;;
